Summary		Value				Size		Digikey#
15			0.1uF				0805		1276-1007-1-ND
11			10uF				0805		490-6473-1-ND
1			0					0805		311-0.0ARCT-ND
1			22					0805		P22ACT-ND
2			510					0805		311-510ARCT-ND
4			1K					0805		311-1.0KARCT-ND
4			3K					0805		311-3.0KARCT-ND
8			100K				0805		311-100KCRCT-ND
4			200K				0805		RMCF0805JT200KCT-ND
4			ESQ-120-24-L-D					ESQ-120-23-G-D-ND
4			AD7740KRMZ						AD7740KRMZ-ND
2			IS61WV102416BLL-10TLI			706-1055-ND
1			MAX3232ESE+						MAX3232ESE+-ND
1			DB-9M							AE10970-ND
2			MAB6H							CP-2360-ND
1			FE06-1				1x6			S5481-ND*
1			MA04-2				2x4			S7107-ND*
1			WiFi				Module		http://www.ebay.com/itm/ESP8266-Serial-WIFI-Wireless-Transceiver-Module-Send-Receive-LWIP-AP-STA-A-/221980350958?hash=item33af0f59ee:g:AbQAAOSwYaFWghH0
1			RTS					Module		http://www.ebay.com/itm/DS3231-AT24C32-IIC-precision-Real-time-clock-RTC-memory-module-For-Arduino-/201478295970?hash=item2ee90ad1a2:g:UA8AAOSwHQ9WYHza

Part	Value					Description
C1		0.1						CAPACITOR
C2		0.1						CAPACITOR
C3		0.1						CAPACITOR
C4		0.1						CAPACITOR
C5		10						CAPACITOR
C6		10						CAPACITOR
C7		10						CAPACITOR
C8		10						CAPACITOR
C9		10						CAPACITOR
C10		10						CAPACITOR
C11		0.1						CAPACITOR
C12		0.1						CAPACITOR
C13		0.1						CAPACITOR
C14		0.1						CAPACITOR
C15		0.1						CAPACITOR
C16		10						CAPACITOR
C17		0.1						CAPACITOR
C18		10						CAPACITOR
C19		0.1						CAPACITOR
C20		10						CAPACITOR
C21		0.1						CAPACITOR
C22		0.1						CAPACITOR
C23		0.1						CAPACITOR
C24		0.1						CAPACITOR
C25		10						CAPACITOR
C26		10						CAPACITOR
R1		0						RESISTOR
R2		200K					RESISTOR
R3		200K					RESISTOR
R4		100K					RESISTOR
R5		100K					RESISTOR
R6		100K					RESISTOR
R7		100K					RESISTOR
R8		200K					RESISTOR
R9		200K					RESISTOR
R10		100K					RESISTOR
R11		100K					RESISTOR
R12		100K					RESISTOR
R13		100K					RESISTOR
R14		22						RESISTOR
R15		500						RESISTOR
R16		500						RESISTOR
R17		1K						RESISTOR
R18		1K						RESISTOR
R19		3K						RESISTOR
R20		3K						RESISTOR
R21		500						RESISTOR
R22		500						RESISTOR
R23		1K						RESISTOR
R24		1K						RESISTOR
R25		3K						RESISTOR
R26		3K						RESISTOR
SV1		MA20-2					PIN HEADER
SV2		MA20-2					PIN HEADER
SV3		FE06-1					FEMALE HEADER*
SV4		MA04-2					PIN HEADER*
U1		AD7740KRMZ				SOIC
U2		AD7740KRMZ				SOIC
U3		AD7740KRMZ				SOIC
U4		AD7740KRMZ				SOIC
U5		IS62WV102416BLL-10T		TSOP
U6		IS62WV102416BLL-10T		TSOP
U7		MAX3232ESE				SO16
X1		DB-9M					SUB-D
X2		MAB6H					DIN
X3		MAB6H					DIN

* These parts might be different
